YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,2,10,2,MQ,3064,N651MQ,SGF,DFW,1455.0,1455.0,0.0,10.0,1505.0,89.0,77.0,57.0,364.0,1602.0,10.0,1624.0,1612.0,-12.0,0.0,0.0,,,,,,
2015,1,23,5,MQ,3185,N515MQ,ORD,COU,1955.0,1951.0,-4.0,10.0,2001.0,79.0,62.0,49.0,315.0,2050.0,3.0,2114.0,2053.0,-21.0,0.0,0.0,,,,,,
2015,2,16,1,WN,315,N383SW,ONT,PHX,1040.0,1116.0,36.0,9.0,1125.0,65.0,75.0,57.0,325.0,1322.0,9.0,1245.0,1331.0,46.0,0.0,0.0,,10.0,0.0,11.0,25.0,0.0
2015,2,3,2,AA,222,N3LLAA,LAX,BOS,655.0,652.0,-3.0,20.0,712.0,325.0,324.0,297.0,2611.0,1509.0,7.0,1520.0,1516.0,-4.0,0.0,0.0,,,,,,
2015,1,14,3,B6,499,N608JB,LGA,MCO,2100.0,2112.0,12.0,14.0,2126.0,169.0,160.0,137.0,950.0,2343.0,9.0,2349.0,2352.0,3.0,0.0,0.0,,,,,,
2015,2,9,1,UA,1207,N63820,ORD,EWR,1818.0,1823.0,5.0,21.0,1844.0,132.0,132.0,103.0,719.0,2127.0,8.0,2130.0,2135.0,5.0,0.0,0.0,,,,,,
2015,2,11,3,OO,7369,N439SW,APN,DTW,1015.0,1005.0,-10.0,27.0,1032.0,70.0,82.0,49.0,198.0,1121.0,6.0,1125.0,1127.0,2.0,0.0,0.0,,,,,,
2015,2,20,5,WN,581,N954WN,ATL,RIC,1035.0,1031.0,-4.0,13.0,1044.0,95.0,81.0,63.0,481.0,1147.0,5.0,1210.0,1152.0,-18.0,0.0,0.0,,,,,,
2015,1,31,6,MQ,3659,N629MQ,SGF,DFW,525.0,523.0,-2.0,20.0,543.0,92.0,85.0,59.0,364.0,642.0,6.0,657.0,648.0,-9.0,0.0,0.0,,,,,,
2015,2,20,5,WN,121,N966WN,MSY,FLL,1845.0,1845.0,0.0,14.0,1859.0,105.0,106.0,81.0,674.0,2120.0,11.0,2130.0,2131.0,1.0,0.0,0.0,,,,,,
2015,1,20,2,EV,5185,N719EV,LGA,MCI,814.0,810.0,-4.0,25.0,835.0,211.0,199.0,169.0,1107.0,1024.0,5.0,1045.0,1029.0,-16.0,0.0,0.0,,,,,,
2015,1,29,4,MQ,2951,N542MQ,ORD,DSM,1745.0,1745.0,0.0,49.0,1834.0,75.0,101.0,47.0,299.0,1921.0,5.0,1900.0,1926.0,26.0,0.0,0.0,,26.0,0.0,0.0,0.0,0.0
2015,2,22,7,WN,1167,N227WN,LAX,OAK,1150.0,1145.0,-5.0,6.0,1151.0,75.0,66.0,54.0,337.0,1245.0,6.0,1305.0,1251.0,-14.0,0.0,0.0,,,,,,
2015,1,1,4,OO,5409,N979SW,MKE,ORD,1733.0,1715.0,-18.0,11.0,1726.0,56.0,44.0,20.0,67.0,1746.0,13.0,1829.0,1759.0,-30.0,0.0,0.0,,,,,,
2015,2,21,6,AA,1450,N3JGAA,LAS,DFW,1328.0,1326.0,-2.0,21.0,1347.0,157.0,147.0,117.0,1055.0,1744.0,9.0,1805.0,1753.0,-12.0,0.0,0.0,,,,,,
2015,1,15,4,MQ,2950,N644MQ,RST,ORD,1325.0,1426.0,61.0,11.0,1437.0,76.0,70.0,43.0,268.0,1520.0,16.0,1441.0,1536.0,55.0,0.0,0.0,,0.0,0.0,0.0,55.0,0.0
2015,2,23,1,DL,2517,N341NB,VPS,ATL,520.0,744.0,144.0,10.0,754.0,67.0,73.0,48.0,250.0,942.0,15.0,727.0,957.0,150.0,0.0,0.0,,6.0,0.0,0.0,144.0,0.0
2015,1,21,3,DL,1732,N961AT,CLE,ATL,1626.0,1621.0,-5.0,28.0,1649.0,114.0,122.0,80.0,554.0,1809.0,14.0,1820.0,1823.0,3.0,0.0,0.0,,,,,,
2015,1,7,3,OO,5522,N932EV,PSC,DEN,600.0,612.0,12.0,23.0,635.0,140.0,143.0,115.0,852.0,930.0,5.0,920.0,935.0,15.0,0.0,0.0,,3.0,0.0,12.0,0.0,0.0
2015,1,10,6,OO,7391,N560SW,SLC,GCC,1122.0,1114.0,-8.0,25.0,1139.0,108.0,119.0,89.0,410.0,1308.0,5.0,1310.0,1313.0,3.0,0.0,0.0,,,,,,
2015,1,4,7,DL,2074,N937DN,ATL,TPA,835.0,841.0,6.0,18.0,859.0,85.0,88.0,67.0,406.0,1006.0,3.0,1000.0,1009.0,9.0,0.0,0.0,,,,,,
2015,1,27,2,DL,1260,N941DN,ATL,DTW,1205.0,1206.0,1.0,19.0,1225.0,122.0,121.0,95.0,594.0,1400.0,7.0,1407.0,1407.0,0.0,0.0,0.0,,,,,,
2015,2,19,4,DL,927,N341NW,LGA,DEN,2030.0,2029.0,-1.0,32.0,2101.0,279.0,269.0,225.0,1620.0,2246.0,12.0,2309.0,2258.0,-11.0,0.0,0.0,,,,,,
2015,2,10,2,DL,2176,N916DL,BNA,ATL,1730.0,1732.0,2.0,31.0,1803.0,74.0,80.0,40.0,214.0,1943.0,9.0,1944.0,1952.0,8.0,0.0,0.0,,,,,,
2015,2,11,3,US,1949,N824AW,CLE,CLT,830.0,825.0,-5.0,23.0,848.0,109.0,95.0,66.0,430.0,954.0,6.0,1019.0,1000.0,-19.0,0.0,0.0,,,,,,
2015,1,7,3,DL,1670,N310DE,ATL,CHS,815.0,813.0,-2.0,14.0,827.0,70.0,60.0,40.0,259.0,907.0,6.0,925.0,913.0,-12.0,0.0,0.0,,,,,,
2015,2,2,1,AA,1600,N496AA,AUS,DFW,1849.0,1843.0,-6.0,16.0,1859.0,66.0,70.0,41.0,190.0,1940.0,13.0,1955.0,1953.0,-2.0,0.0,0.0,,,,,,
2015,1,16,5,EV,4628,N16976,EWR,ORF,2223.0,2223.0,0.0,16.0,2239.0,79.0,73.0,53.0,284.0,2332.0,4.0,2342.0,2336.0,-6.0,0.0,0.0,,,,,,
2015,1,9,5,MQ,3319,N826MQ,ORD,CMI,1905.0,2032.0,87.0,15.0,2047.0,49.0,43.0,24.0,135.0,2111.0,4.0,1954.0,2115.0,81.0,0.0,0.0,,0.0,0.0,81.0,0.0,0.0
2015,1,2,5,OO,6192,N929EV,DEN,SBA,1214.0,1215.0,1.0,22.0,1237.0,158.0,143.0,116.0,916.0,1333.0,5.0,1352.0,1338.0,-14.0,0.0,0.0,,,,,,
2015,1,20,2,F9,1331,N201FR,MCO,IAD,1820.0,1837.0,17.0,12.0,1849.0,125.0,125.0,105.0,758.0,2034.0,8.0,2025.0,2042.0,17.0,0.0,0.0,,7.0,0.0,4.0,6.0,0.0
2015,2,24,2,AA,2242,N4XDAA,AUS,DFW,1202.0,1218.0,16.0,10.0,1228.0,63.0,57.0,35.0,190.0,1303.0,12.0,1305.0,1315.0,10.0,0.0,0.0,,,,,,
2015,1,19,1,WN,2429,N7740A,SMF,SNA,1505.0,1502.0,-3.0,7.0,1509.0,80.0,80.0,68.0,404.0,1617.0,5.0,1625.0,1622.0,-3.0,0.0,0.0,,,,,,
